TaskID,synthesized,correct_or_not,desired_or_not
2,"MATCH (a:Person)-[r:MY_RELATION]->(b:Person) WHERE r.minimum < 22 AND r.maximum > 20 RETURN a, r, b",TRUE,TRUE
3,"MATCH (u1:User)-[:RT_MENTIONS]->(u2:User) RETURN u1.name, u2.name",TRUE,FALSE
4,MATCH (b1:BasketOne)-[:INCLUDE]->(a:Apple)<-[:INCLUDE]-(b2:BasketTwo) RETURN count(distinct(a)),TRUE,FALSE
5,"MATCH (p:Person)-[:CREATED_EVENT]->(e:Event)-[:ANSWERED]->(q:question) WITH p, e, collect(q) AS qs WHERE size(qs) = 2 RETURN p, e, qs[0] UNION RETURN p, e, qs[1]",FALSE,FALSE
6,MATCH (:Crew)-[:KNOWS]->(c)-[:KNOWS]->() RETURN c.name,FALSE,FALSE
7,"MATCH (a:User)-[r1:INTERACTS_WITH]->(b:User)-[r2:INTERACTS_WITH]->(c:User)-[r3:INTERACTS_WITH]->(d:User) RETURN a, b, c, d, r1, r2, r3",TRUE,TRUE
8,"MATCH (p1:Parent)-[:HAS]->(c:Child)<-[:HAS]-(p2:Parent) WHERE p1.name = p2.name AND p1 <> p2 RETURN p1, p2",FALSE,FALSE
9,MATCH (p:Parent)-[:HAS]->(c:Child) WHERE c.name = 'Daughter' RETURN c.name,FALSE,FALSE
10,MATCH (p:Person {name: 'Charlie Sheen'})-[:ACTED_IN]->(m:Movie) RETURN m.title,TRUE,TRUE
11,"MATCH (s:Store)-[:Sells]->(i:Item) RETURN s.name, sum(i.price)",TRUE,TRUE
12,MATCH (p:Person)-[:BANKS_AT]->(b:Bank)<-[:WORKS_AT]-(p) RETURN p,TRUE,TRUE
13,"MATCH (p:Person) RETURN p.job, count(p.job)",TRUE,TRUE
14,"MATCH (p:Project)<-[r:charged_project]-(e:Employee) RETURN p.name, sum(r.hours)",TRUE,TRUE
15,MATCH (p:Person) WHERE NOT (p)-[:KNOWS]->() RETURN p.name,FALSE,FALSE
16,MATCH (p:Person)-[:BANKS_AT]->(b:Bank) RETURN p,TRUE,TRUE
