benchmarkID,Source,Pattern Size,Predicate Size,Return Size
2,stackoverflow,3,2,3
3,dataset,5,0,2
4,stackoverflow,5,0,1
5,stackoverflow,5,2,3
6,forum,5,1,1
7,dataset,7,0,7
8,forum,5,2,1
9,forum,3,1,1
10,tutorial,3,1,1
11,forum,3,0,2
12,stackoverflow,5,0,1
13,forum,1,0,2
14,stackoverflow,3,0,2
15,tutorial,1,1,1
16,stackoverflow,3,0,1
17,dataset,3,0,2
18,stackoverflow,1,0,2
19,stackoverflow,1,0,2
20,stackoverflow,3,0,3
21,stackoverflow,3,0,4
22,stackoverflow,1,0,4
23,stackoverflow,1,0,3
24,tutorial,1,0,1
25,stackoverflow,1,0,2
26,stackoverflow,5,2,3
27,stackoverflow,5,1,3
28,tutorial,3,1,1
29,tutorial,1,1,1
30,stackoverflow,5,0,3
31,stackoverflow,1,1,1
32,stackoverflow,5,1,3
33,stackoverflow,3,1,3
34,forum,3,2,1
35,stackoverflow,5,0,2
36,stackoverflow,3,0,2
37,stackoverflow,3,2,1
38,stackoverflow,3,0,2
39,stackoverflow,5,1,3
40,stackoverflow,1,1,1
41,dataset,3,1,1
42,tutorial,3,0,2
43,stackoverflow,3,3,2
44,dataset,5,3,2
45,stackoverflow,3,1,1
46,stackoverflow,3,2,1
47,stackoverflow,3,0,1
48,stackoverflow,3,1,2
49,dataset,3,0,2
50,stackoverflow,5,3,3
51,stackoverflow,1,3,1
52,stackoverflow,5,1,2
53,dataset,3,0,2
54,dataset,3,0,1
55,dataset,3,2,1
56,dataset,9,0,4
57,dataset,9,0,9
58,dataset,9,0,6
59,dataset,9,0,4
60,dataset,5,0,2
61,dataset,5,0,2
62,dataset,8,0,5
63,dataset,8,0,3
64,dataset,11,0,5
65,dataset,9,1,4
66,dataset,9,1,3
67,dataset,9,1,2
68,dataset,9,1,3
69,dataset,3,2,2
70,dataset,3,4,2
71,dataset,3,0,1
72,dataset,3,4,2
73,tutorial,3,0,2
74,tutorial,5,1,5
75,dataset,3,3,2
76,tutorial,3,2,1
77,tutorial,3,1,1
78,dataset,3,3,4
79,dataset,9,1,4
80,dataset,7,1,4
81,dataset,5,0,2
82,tutorial,1,6,2
83,dataset,3,6,2
84,stackoverflow,5,8,1
85,stackoverflow,3,0,2
86,tutorial,1,1,1
87,tutorial,1,1,2
88,forum,3,1,1
89,tutorial,3,1,2
90,tutorial,1,2,2
91,tutorial,1,1,1
