benchmarkID,input_nodes_sizes,input_edges_sizes,output_sizes
2,"[4, 6]","[2, 5]","[3, 9]"
3,[11],[8],[8]
4,"[5, 5]","[4, 4]","[1, 1]"
5,"[14, 10]","[13, 7]","[6, 6]"
6,"[8, 14, 6]","[5, 11, 2]","[1, 1, 1]"
7,"[9, 12]","[4, 9]","[7, 7]"
8,"[4, 18]","[3, 15]","[4, 4]"
9,"[5, 8]","[3, 6]","[1, 2]"
10,"[7, 6]","[5, 3]","[1, 1]"
11,"[6, 9]","[4, 6]","[4, 6]"
12,[6],[6],[2]
13,"[7, 13]","[0, 0]","[8, 8]"
14,"[4, 4]","[1, 2]","[2, 2]"
15,"[3, 4, 6]","[2, 0, 5]","[3, 4, 2]"
16,"[5, 5]","[4, 4]","[2, 4]"
17,"[9, 9]","[3, 3]","[6, 6]"
18,[2],[0],[2]
19,[5],[0],[2]
20,[8],[5],[12]
21,"[8, 8]","[2, 4]","[8, 16]"
22,[1],[0],[4]
23,[1],[0],[3]
24,[2],[0],[2]
25,[2],[0],[2]
26,"[3, 21]","[2, 14]","[3, 3]"
27,"[6, 6]","[4, 4]","[6, 6]"
28,"[4, 5]","[2, 3]","[1, 2]"
29,[3],[0],[1]
30,"[6, 5]","[8, 3]","[6, 3]"
31,"[8, 8]","[0, 7]","[3, 4]"
32,"[3, 9]","[2, 7]","[3, 3]"
33,"[12, 10]","[9, 4]","[12, 3]"
34,"[5, 10]","[2, 5]","[2, 2]"
35,[10],[3],[4]
36,"[6, 5]","[4, 4]","[2, 2]"
37,"[4, 11, 6, 4]","[2, 5, 5, 3]","[1, 1, 1, 1]"
38,[11],[11],[16]
39,"[3, 24, 25, 12]","[2, 4, 3, 5]","[3, 3, 6, 6]"
40,[7],[0],[1]
41,"[4, 8, 8]","[2, 4, 4]","[2, 3, 2]"
42,[6],[3],[2]
43,"[16, 13]","[8, 9]","[6, 6]"
44,"[8, 12]","[6, 9]","[12, 4]"
45,"[9, 13, 15]","[3, 10, 9]","[1, 1, 1]"
46,"[9, 13, 15]","[3, 10, 9]","[2, 6, 3]"
47,"[5, 5]","[3, 3]","[2, 2]"
48,"[8, 6]","[4, 3]","[6, 2]"
49,[9],[3],[4]
50,"[8, 11]","[6, 7]","[3, 3]"
51,[10],[0],[3]
52,"[7, 6]","[6, 4]","[2, 2]"
53,"[12, 8]","[5, 6]","[6, 10]"
54,"[4, 4, 3]","[3, 1, 2]","[1, 1, 1]"
55,"[8, 7, 3]","[4, 3, 2]","[2, 2, 2]"
56,"[6, 5]","[4, 4]","[4, 4]"
57,[6],[4],[3]
58,[6],[4],[3]
59,[6],[4],[4]
60,"[4, 5]","[3, 2]","[4, 2]"
61,"[11, 13]","[2, 2]","[4, 4]"
62,[6],[4],[5]
63,[6],[4],[3]
64,"[9, 8]","[9, 7]","[10, 15]"
65,"[12, 11, 12]","[11, 10, 11]","[4, 4, 4]"
66,"[12, 11, 12]","[11, 10, 11]","[3, 3, 3]"
67,"[12, 11, 12]","[11, 10, 11]","[2, 2, 2]"
68,"[12, 11, 12]","[11, 10, 11]","[3, 3, 3]"
69,"[12, 10]","[9, 7]","[2, 2]"
70,"[12, 8, 4]","[9, 6, 2]","[6, 2, 2]"
71,"[7, 10]","[2, 8]","[1, 4]"
72,"[12, 9]","[9, 6]","[8, 2]"
73,"[6, 7, 4, 6]","[6, 5, 2, 1]","[6, 6, 4, 2]"
74,"[7, 7, 4]","[4, 6, 2]","[5, 15, 5]"
75,"[12, 8]","[9, 6]","[6, 12]"
76,"[6, 6, 5]","[5, 4, 3]","[1, 2, 1]"
77,"[6, 3]","[5, 2]","[1, 1]"
78,"[4, 8, 8]","[2, 4, 4]","[4, 4, 4]"
79,"[12, 11, 12]","[11, 10, 11]","[4, 4, 4]"
80,"[8, 11]","[6, 8]","[4, 4]"
81,"[9, 8]","[3, 4]","[4, 4]"
82,"[7, 7, 6, 6]","[5, 0, 0, 0]","[6, 6, 8, 8]"
83,"[4, 7, 9, 5]","[3, 4, 7, 3]","[4, 4, 4, 4]"
84,"[3, 6, 6, 9]","[2, 4, 4, 6]","[1, 1, 1, 1]"
85,"[10, 5]","[6, 3]","[12, 4]"
86,"[2, 4]","[2, 0]","[1, 1]"
87,"[6, 2]","[5, 0]","[2, 4]"
88,"[7, 3]","[3, 2]","[1, 2]"
89,[6],[3],[2]
90,[10],[0],[8]
91,"[2, 4]","[2, 0]","[1, 1]"
